index,Title,Genre,Runtime,Rating
333.0,Girls Trip,Comedy,122,6.3
334.0,6 Days,"Action,Drama,History,Thriller",94,6.2
335.0,Spider-Man: Homecoming,"Action,Adventure,Sci-Fi",133,7.5
336.0,Una,"Drama,Romance",94,6.2
337.0,Distance Between Dreams,"Action,Adventure,Documentary,Family,Sport",63,6.4
338.0,Cargo,"Drama,Horror,Mystery,Thriller",105,7.4
339.0,The Beguiled,"Drama,Thriller,War",93,6.4
340.0,Hired Gun,"Documentary,Music",98,7.2
341.0,Baby Driver,"Action,Crime,Music,Thriller",112,7.7
342.0,Certain Women,Drama,107,6.4
343.0,The Wizard of Lies,"Biography,Crime,Drama",133,6.8
344.0,Berlin Syndrome,"Drama,Horror,Mystery,Thriller",116,6.3
345.0,VHS Massacre: Cult Films and the Decline of Physical Media,"Comedy,Documentary,History,Horror,Sci-Fi",72,6.0
346.0,The Book of Henry,"Crime,Drama,Thriller",105,6.5
347.0,Boys in the Trees,"Drama,Horror,Thriller",112,6.3
348.0,Shock Wave,"Action,Thriller",119,6.4
349.0,A Ghost Story,"Drama,Fantasy,Romance",92,6.9
350.0,Voyage of Time: Life's Journey,"Documentary,Drama",90,6.4
351.0,Despicable Me 3,"Action,Adventure,Animation,Comedy,Family",89,6.3
352.0,Churchill,"Biography,Drama,History,Thriller,War",105,6.4
353.0,Scooby-Doo! Frankencreepy,"Adventure,Animation,Comedy,Family,Fantasy",74,6.9
354.0,Till We Meet Again,"Adventure,Drama",105,6.7
355.0,Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Fantasy",129,6.6
356.0,The Hero,"Comedy,Drama,Romance",96,6.5
357.0,The Big Sick,"Comedy,Drama,Romance",120,7.6
358.0,Throne of Elves,"Animation,Fantasy",104,6.2
359.0,Whitney: Can I Be Me,"Documentary,Music",105,6.6
360.0,Wonder Woman,"Action,Adventure,Fantasy,Sci-Fi,War",141,7.5
361.0,Mindhorn,Comedy,89,6.3
362.0,It Comes at Night,"Horror,Mystery",91,6.2
363.0,A Dark Song,"Drama,Horror",100,6.1
364.0,Don't Take Me Home,"Documentary,History,Sport",86,6.8
365.0,Band Aid,"Comedy,Drama,Music,Romance",91,6.6
366.0,Risk,Documentary,86,6.3
367.0,Captain Underpants: The First Epic Movie,"Action,Animation,Comedy,Family",89,6.2
368.0,Unlocked,"Action,Drama,Mystery,Thriller",98,6.2
369.0,Megan Leavey,"Biography,Drama,War",116,7.1
370.0,Born in China,Documentary,79,7.2
371.0,My Cousin Rachel,"Drama,Mystery,Romance",106,6.0
372.0,Lady Macbeth,"Drama,Romance",89,6.9
373.0,Life During Wartime,"Comedy,Drama",98,6.4
374.0,Williams,"Biography,Documentary,Sport",109,7.7
375.0,The Sense of an Ending,"Drama,Mystery",108,6.3
376.0,The Ottoman Lieutenant,"Drama,War",106,6.8
377.0,Guardians of the Galaxy Vol. 2,"Action,Adventure,Sci-Fi",136,7.7
378.0,Shin Godzilla,"Action,Adventure,Drama,Horror,Sci-Fi",120,6.7
379.0,The Wall,"Drama,Thriller,War",88,6.2
380.0,The Exception,"Drama,Romance,War",107,6.8
381.0,The Case for Christ,"Biography,Drama,History",112,6.1
382.0,Chuck,"Biography,Drama,Sport",98,6.5
383.0,Alien: Covenant,"Horror,Sci-Fi,Thriller",122,6.5
384.0,Boyka: Undisputed,"Action,Crime,Drama,Sport,Thriller",105,7.1
385.0,Shot Caller,"Crime,Drama,Thriller",121,7.3
386.0,Wakefield,Drama,106,6.4
387.0,King Arthur: Legend of the Sword,"Action,Adventure,Drama,Fantasy",126,6.8
388.0,Going in Style,"Comedy,Crime",96,6.6
389.0,The Hippopotamus,Comedy,89,6.4
390.0,Colossal,"Action,Comedy,Drama,Fantasy,Sci-Fi",109,6.2
391.0,The Levelling,Drama,83,6.4
392.0,A Quiet Passion,"Biography,Drama",125,6.6
393.0,Ghost in the Shell,"Action,Crime,Drama,Mystery,Sci-Fi",107,6.4
394.0,Gifted,Drama,101,7.6
395.0,The Boss Baby,"Animation,Comedy,Family,Fantasy",97,6.3
396.0,Route Irish,"Action,Drama,Thriller,War",109,6.4
397.0,The Phantom of the Opera at the Royal Albert Hall,"Drama,Music,Musical,Romance,Thriller",137,8.8
398.0,Wazir,"Action,Crime,Drama,Mystery,Thriller",103,7.2
399.0,The Promise,"Action,Drama,History",133,6.0
400.0,Free Fire,"Action,Comedy,Crime,Thriller",91,6.4
401.0,Buster's Mal Heart,"Drama,Mystery,Thriller",96,6.0
402.0,My Name Is Lenny,"Biography,Drama,Sport",91,6.9
403.0,Resident Evil: Vendetta,"Action,Adventure,Animation,Horror,Mystery",97,6.3
404.0,The Lost City of Z,"Action,Adventure,Biography,Drama,History",141,6.6
405.0,The Fate of the Furious,"Action,Adventure,Crime,Thriller",136,6.7
406.0,Their Finest,"Comedy,Drama,Romance,War",117,6.8
407.0,Black Butterfly,Thriller,93,6.1
408.0,Ghost in the Shell Arise: Border 4 - Ghost Stands Alone,"Action,Animation,Sci-Fi",59,7.3
409.0,Ghost in the Shell Arise: Border 3 - Ghost Tears,"Action,Animation,Sci-Fi",55,7.3
410.0,Extortion,"Action,Adventure,Crime,Drama,Thriller",108,6.2
411.0,Kong: Skull Island,"Action,Adventure,Fantasy,Sci-Fi",118,6.7
412.0,Rabbit Hole,"Action,Drama",91,7.0
413.0,Apprentice,Drama,115,6.5
414.0,Youth in Revolt,"Comedy,Drama,Romance",90,6.5
415.0,Gods and Generals,"Biography,Drama,History,War",219,6.3
416.0,The Zookeeper's Wife,"Biography,Drama,History,War",127,7.0
417.0,Red Dog: True Blue,"Comedy,Drama,Family,Romance",88,6.4
418.0,Alone in Berlin,"Action,Drama",103,6.4
419.0,Power Rangers,"Action,Adventure,Sci-Fi",105,6.0
420.0,The Eagle Huntress,"Adventure,Documentary,Sport",87,7.5
421.0,CHIPS,"Action,Comedy,Crime",100,6.0
422.0,Jawbone,"Action,Drama,Sport",91,6.5
423.0,The Belko Experiment,"Action,Horror,Thriller",89,6.1
424.0,Life,"Horror,Sci-Fi,Thriller",104,6.6
425.0,The Carer,"Comedy,Drama",89,6.5
426.0,Prevenge,"Comedy,Drama,Fantasy,Horror,Thriller",88,6.0
427.0,I Tawt I Taw a Puddy Tat,"Action,Animation,Comedy,Family,Musical",105,6.4
428.0,I Am Heath Ledger,"Biography,Documentary",90,7.4
429.0,The LEGO Batman Movie,"Action,Adventure,Animation,Comedy,Family",104,7.3
430.0,John Wick: Chapter 2,"Action,Crime,Thriller",122,7.5
431.0,Queen Rock Montreal & Live Aid,"Action,Music",138,8.6
432.0,Peaceful Warrior,"Drama,Romance,Sport",105,7.3
433.0,The Last Word,"Comedy,Drama",108,6.6
434.0,Swallows and Amazons,"Adventure,Drama,Family,War",96,6.2
435.0,A Cure for Wellness,"Action,Drama,Fantasy,Horror,Mystery",146,6.4
436.0,McLaren,"Action,Biography,Documentary,Drama,Sport",92,7.3
437.0,T2 Trainspotting,"Action,Drama",117,7.3
438.0,The Devil's Candy,"Action,Drama,Horror,Thriller",79,6.4
439.0,Logan,"Action,Drama,Sci-Fi,Thriller",137,8.1
440.0,M.S. Dhoni: The Untold Story,"Biography,Drama,Sport",184,7.8
441.0,Beauty and the Beast,"Action,Family,Fantasy,Musical,Romance",129,7.2
442.0,Mean Dreams,"Action,Thriller",108,6.3
443.0,The Shack,"Action,Drama,Fantasy",132,6.3
