index,Title,Genre,Runtime,Rating
451,The Space Between Us,"Action,Adventure,Drama,Romance,Sci-Fi",120,6.4
452,The Death and Resurrection Show,"Documentary,Music",150,7.1
453,Hacker,"Action,Crime,Drama,Thriller",95,6.2
454,Notes on Blindness,"Action,Documentary,Drama",90,7.1
455,A Dog's Purpose,"Action,Adventure,Comedy,Drama,Family",100,6.9
456,Gold,"Action,Adventure,Drama,Thriller",120,6.7
457,The Age of Shadows,"Action,Drama,History,Thriller",140,7.2
458,Silicon Cowboys,"Documentary,History",77,6.8
459,Adult Life Skills,"Action,Comedy",96,6.2
460,Personal Shopper,"Action,Drama,Horror,Mystery,Thriller",105,6.2
461,La La Land,"Action,Comedy,Drama,Music,Musical",128,8.1
462,Kicks,"Adventure,Drama",80,6.3
463,The Autopsy of Jane Doe,"Horror,Mystery,Thriller",86,6.8
464,Leap!,"Adventure,Animation,Comedy,Family,Musical",89,6.8
465,Teen Titans: The Judas Contract,"Action,Adventure,Animation,Comedy,Drama",84,7.0
466,The Founder,"Action,Biography,Drama,History",105,7.2
467,Traceroute,"Biography,Comedy,Documentary,History",120,7.7
468,Split,"Action,Horror,Thriller",117,7.3
469,Brimstone,"Action,Horror,Mystery,Thriller,Western",148,7.1
470,Lion,"Biography,Drama",118,8.1
471,Hidden Figures,"Biography,Drama,History",127,7.8
